t,owner,stored_on,buyer,qty_kWh
33430,16,25,16,0.21556997524060972
33430,17,10,17,0.010763257442856767
33430,17,20,17,0.3047767234474872
33430,17,21,17,0.0239779962454368
33431,9,8,9,0.3800111151095771
33431,9,10,9,0.053004449137674804
33431,9,14,9,0.3522571761023593
33431,9,20,9,0.05592715426777235
33431,9,21,9,0.02382290028473672
33431,12,4,12,0.3063236671266451
33431,12,6,12,0.01208298126428596
33431,12,7,12,0.28513984774254686
33431,15,7,15,0.4096096365618491
33431,15,25,15,0.14460130454562123
33431,16,24,16,0.6176679342329348
33431,16,25,16,0.06957430762704035
33431,17,20,17,0.3130050475951638
33432,9,8,9,0.2431821169513837
33432,12,20,12,0.02644437025080868
33432,12,24,12,0.1656366430825775
33432,15,20,15,0.13571209025800474
33432,16,20,16,0.25996573896151876
33432,17,8,17,0.1283525007079457
33432,17,14,17,0.1632815295537604
33432,22,4,22,0.4870504376715111
33432,22,5,22,0.21126445241271796
33433,13,8,13,0.0039487286977655245
33433,17,8,17,0.03271114990030826
33433,22,8,22,0.06455624170380268
33433,23,8,23,0.005855330805106362
33434,13,8,13,0.024722449165258453
33434,23,8,23,0.024921998345975638
33435,13,8,13,0.01810719953633598
33435,23,8,23,0.015484294520567316
33436,13,8,13,0.0074968474249867524
33436,23,8,23,0.0058240254405449
33437,13,8,13,0.005779328764805025
33437,23,8,23,0.004332668356623673
33438,23,8,23,0.002881372173385799
33450,9,8,9,0.22996232925211313
33451,9,8,9,0.7041856547335373
33451,9,14,9,0.48096911923240704
33451,12,24,12,0.4206257068147776
33451,12,25,12,0.12003242424597733
33451,16,24,16,0.23667725143010632
33451,17,14,17,0.11283211255873749
33451,22,2,22,0.03566162220644564
33451,22,5,22,0.015619418495647165
33452,9,8,9,0.6832015447802633
33452,9,14,9,0.5397060402478412
33452,12,4,12,0.2538315564535041
33452,12,6,12,0.01255293158972776
33452,12,7,12,0.5750234532011191
33452,16,7,16,0.1467473215537059
33452,16,24,16,0.5670344060908409
33452,16,25,16,0.22250566718480794
33452,17,10,17,0.055065981600341
33452,17,14,17,0.09477961995828413
33452,17,20,17,0.08272024806267275
33452,17,21,17,0.024749458018867323
33453,9,8,9,0.6733192625922437
33453,9,14,9,0.479684276122517
33453,12,4,12,0.35500896697377504
33453,12,6,12,0.01234832182097512
33453,12,7,12,0.42729523236386635
33453,15,7,15,0.27121117032668707
33453,16,24,16,0.6563849909736672
33453,16,25,16,0.12336136857247126
33453,17,10,17,0.05416841933125301
33453,17,14,17,0.1444594202735079
33453,17,20,17,0.04984568703732428
33453,17,21,17,0.024346047799844284
33454,9,8,9,0.3915057257054544
33454,9,14,9,0.5663569425830842
33454,12,4,12,0.37050338303504465
33454,12,6,12,0.01222074640739032
33454,12,7,12,0.28256811178454194
33454,15,7,15,0.42010261811590344
33454,15,25,15,0.1963074995737192
33454,16,24,16,0.6821094907883314
33454,17,10,17,0.05360878389255872
33454,17,14,17,0.05133847757277828
33454,17,20,17,0.19580183131658124
33454,17,21,17,0.024094519117465362
33455,9,8,9,0.382220249473904
33455,9,14,9,0.1688821257230969
33455,12,24,12,0.28793556233349643
33455,12,25,12,0.10816579050577105
33455,13,25,13,0.0018413747844894246
33455,15,24,15,0.34269791792874993
33455,16,20,16,0.1295634816017505
33455,16,24,16,0.34279168152457934
33455,17,10,17,0.03074955359317697
33455,17,14,17,0.18542284161974829
33455,17,20,17,0.09714728482290802
33455,17,21,17,0.013820416228601856
33455,22,2,22,0.10586357863235465
33455,22,3,22,0.04013165405597944
33455,22,4,22,0.015620140189871456
33455,22,5,22,0.7474650444880692
33456,13,8,13,0.0029238865758500765
33456,16,8,16,0.03024416061243658
33456,17,8,17,0.29567694693906815
33456,19,20,19,0.08689424535822372
33456,22,11,22,0.35098372812452433
33456,23,11,23,0.009243287788479826
33457,13,8,13,0.03523015269848884
33457,23,8,23,0.0347026652833593
33458,13,8,13,0.03492959094082071
33458,23,8,23,0.03434510498154797
33459,13,8,13,0.0344267835103409
33459,23,8,23,0.03385537629549962
33460,13,8,13,0.015373491627339983
33460,23,8,23,0.013080960637023634
33474,22,9,22,0.02031102883491691
33474,22,14,22,0.04653756897677646
33475,13,8,13,0.04501657142047666
33475,17,8,17,0.2005522518775692
33475,22,11,22,0.009048801364833103
33475,22,14,22,0.4300629736763278
33475,22,15,22,0.03654622137556531
33475,23,11,23,0.04442897494226372
33476,13,8,13,0.05186825416333196
33476,17,8,17,0.32634494665220265
33476,22,14,22,0.38594613448515197
33476,23,14,23,0.05084316921154386
33477,13,8,13,0.05120004826294622
33477,17,8,17,0.2500902516307604
33477,22,9,22,0.04540873598382529
33477,22,14,22,0.256431750277199
33477,23,14,23,0.05012752771993423
33478,13,8,13,0.04643509182499361
33478,17,8,17,0.1239538896978248
33478,22,8,22,0.12011456042469995
33478,22,9,22,0.0432360845492962
33478,23,9,23,0.0454865146521497
33479,13,8,13,0.04263970670459649
33479,22,8,22,0.02426684921743956
33479,23,8,23,0.041789852957461626
33480,13,8,13,0.023140724189646775
33480,23,8,23,0.02020540351247793
33500,22,14,22,0.06963385041795682
33501,13,8,13,0.046276500234017526
33501,22,11,22,0.06113480453203657
33501,22,14,22,0.4172634026434849
33501,23,11,23,0.04533204825655002
33502,13,8,13,0.041644503076907036
33502,17,8,17,0.25341601863351987
33502,22,11,22,0.3236055122227563
33502,22,14,22,0.1440805265161755
33502,23,11,23,0.04088535259522619
33503,13,8,13,0.038609636722325646
33503,17,8,17,0.32938030159562753
33503,22,11,22,0.31595393276453554
33503,22,14,22,0.06817217030521334
33503,23,11,23,0.03792942747943595
33504,13,8,13,0.035490068040745726
33504,17,8,17,0.15784903954869156
33504,22,14,22,0.19660704358479908
33504,23,14,23,0.03489100326599637
33505,13,8,13,0.032712913021500256
33505,23,8,23,0.03218608604305473
33506,13,8,13,0.013874318896917804
33506,23,8,23,0.011698563450802672
33523,17,8,17,0.19119276537638186
33523,22,24,22,0.1475414684733991
33524,9,8,9,0.4086508879922448
33524,17,8,17,0.18768204222544327
33524,17,14,17,0.14352161955686693
33524,22,24,22,0.2967104297332952
33525,9,8,9,0.41745170563402517
33525,12,11,12,0.034221813593942454
33525,13,11,13,0.025165772635701522
33525,17,8,17,0.1732583775597709
33525,17,14,17,0.20470429430150094
33525,19,4,19,0.32319152953441327
33525,19,5,19,0.15621702605071924
33525,22,24,22,0.3461456716962914
33525,23,24,23,0.025937139625031413
33526,9,8,9,0.27771957618114423
33526,12,11,12,0.05241632468096689
33526,12,14,12,0.15812036431987775
33526,13,11,13,0.028113537798197363
33526,17,8,17,0.23019717569415096
33526,17,14,17,0.1448436968164888
33526,19,4,19,0.09519046559619485
33526,19,6,19,0.010290811636386961
33526,19,7,19,0.2728817142346136
33526,22,20,22,0.21485300713573105
33526,22,24,22,0.12906533529982767
33526,23,24,23,0.028613779412785867
33527,9,8,9,0.09794722111824879
33527,12,14,12,0.0909948499142923
33527,13,14,13,0.02565356596090318
33527,17,8,17,0.23400522045589547
33527,17,14,17,0.12228794083355687
33527,19,24,19,0.22175421846817667
33527,22,20,22,0.3265758686898259
33527,23,20,23,0.026217794981044484
33528,13,8,13,0.021681567477829233
